id,soldier_id,company_id,decoration_id,gazetteIssue,gazettePage,gazetteDate,citation,notes,country_id
2314,1993,,2,31728,507,1920-01-12,Egyptian Exp Force.,,,
2315,1994,,2,31728,507,1920-01-12,Egyptian Exp Force.,,,
2316,993,,39,31750,964,1920-01-23,France & Flanders.,,,
2318,1091,,2,30101,5326,1917-05-29,France & Flanders.   L/Cpl (A/Sgt).,,,
2319,1035,MMP 33RD DIV,4,29940,1565,1917-02-13,"MMP.  France & Flanders.   DCM Citation.
607 PRIVATE G ROYLE
MILITARY MOUNTED POLICE
For conspicuous gallantry and devotion to duty.   He has performed consistent good work throughout, and on one occasion displayed great courage in controlling traffic under heavy shellfire.
",,,
2320,990,,2,31446,8793,1919-07-10,France & Flanders. ,,,
4636,6314,1 DIV PRO COY,68,BAOR GRO,416,1961-11-27,"C in C's Commendation:   During the night 26/27 Nov 61 Cpl Lee was called to Caithness Barracks, Verden, where there was a soldier on the roof threatening to throw himself off.   Cpl Lee gained access to the roof through the trap door of a small wooden structure which stood about seven feet high above the roof.   From there he could see the man lying about twenty feet away astride the roof.   He was unable to use his hands and appeared to be in great danger of falling off.   Without hesitation Cpl Lee sung himself over the edge of the wooden structure and was lowered to the roof.  He then inched his way along to the man.   When Cpl Lee reached him the soldier tried to put his hands on Lee's shoulders and looked as though he would grapple with him.   With extreme calmness Cpl Lee put the soldier's hands back on the roof, gave him a cigarette and sat talking to him.   After a few minutes Cpl Lee dragged him back to the wooden structure, got himself behind the man and hoisted him up the side of the box so that he could be pulled in through the trap door.   The roof was sixty feet high and only six inches at its apex.   It had been raining hard, the roof was very cold and slippery.   By showing complete disregard for his own safety and great courage Cpl Lee averted an almost certain tragedy.   The Commander-in-Chief directs that an entry should be made in the Regimental Conduct Sheet of the above named in accordance with Queen's Regulations paragraph 1633 (0).
Extract from B.A.O.R. G.R.O. Issue No. 416 (6488-6508)",,826,
2321,1450,,20,31042,13729,1918-11-22,,,,
2322,1008,,2,30740,6927,1918-06-11,MMP   Sgt (A/ Sqn SM).   Salonika. ,,,
2323,1537,,2,31138,1160,1919-01-22,Egypt Exp Force.,,826,
2324,1995,,2,30867,10002,1918-08-27,Mesopotamia.   Listed as Provost Establishment.,,,
2325,1250,,19,31210,2999,1919-03-03,Mesopotamia.   Devotion to duty.   Pte (A/Sgt).,,,
2326,1592,,42,31440,8596,1919-07-08,"MMP.  Albert Medal Citation.
CORPORAL JAMES SMITH
MILITARY MOUNTED POLICE
The King has been pleased to award the Albert Medal to Lieutenant (acting Major) William Revell Smith, MC, RFA, Sergeant Alexander Gibson, Royal Engineers, and Corporal James Smith, Military Mounted Police, in recognition of their gallantry in endeavouring to save life at Wizernes in January last.   On the 17th January, 1919, a fire occurred at the brewery at Wizernes.   In the engine room a Frenchman, whose cries for help could be heard, had been entombed by a fall of masonry which completely blocked the entrance.   The upper part of the building was blazing fiercely, and the only entrance to the engine room was by a small hole in the wall which carried the machinery belting.   Major Smith, Sergeant Gibson, and Corporal Smith succeeded in making their way through this hole into the room, and worked for three quarters of an hour before they exposed the head and shoulder of the entombed man, who was found to be dead.
They undoubtedly risked their lives in endeavouring  to save life, for a further collapse of masonry (which appeared imminent) would have completely cut off their exit.",,,
2327,1779,,19,31684,15463,1919-12-12,Ireland.   Devotion.   Cpl (A/Regt Sgt Major).,,826,
2328,1996,,1,29608,5558,1916-06-03,Shown as 2nd Dragoon Guards attached MMP.,,,
2329,1997,56 DIV PRO COY,2,War Diary,WO170/4384,1945-01-29,Citation not found.   Commended for arresting two Italian civilians selling WD Property War Diary WO 170/4384.,,0,
2330,1998,56 DIV PRO COY,2,War Diary,WO170/4384,1945-02-07,"Italy.  Citation not found.  7/2/45 5575804 W/L/Cpl Bathe F J awarded MID.  56 London Div Pro Coy,  Unit War Diary WO 170/4384.",,826,
2331,1999,56 DIV PRO COY,2,WO170/4384,,1945-08-10,"Italy.  10/8/45, Company artificer and has done good work in the past in keeping vehicles on the road.  56 London Div Pro Coy,  Unit War Diary WO 170/4384.",,826,
2332,2000,,19,30718,6499,1918-06-03,Italy.   Devotion to duty.   L/Cpl (A/Sgt).   Shown as 2 Border Regiment attached Traffic Control.,,,
2333,2001,,4,31819,3111,1920-03-11,"Shown as VII Corps Army Cyclist Corps from Crondall Nr Farnham Hants.   DCM Citation.
1102 PRIVATE T H WILLIS
7th CYCLIST BATTALION ARMY CYCLIST CORPS
VII CORPS
For conspicuous gallantry and good work under shell fire whilst on traffic control duty on the Ypres-Zonnebeke road.   On 28th September, 1918, he pushed forward his post as the advance progressed to the extent of three kilometres, controlling traffic over badly shelled and mine-cratered roads, and materially assisting in the advance of the guns and ammunition.",,826,
2334,2002,,4,31092,37,1919-02-01,Notification of DCM.   14 Royal Welsh Fusiliers.   Pte,,,
2335,2003,,26,31456,9232,1919-07-21,Italy.,,,
2336,2004,102 PRO COY,20,War Diary,WO171/7819,1945-07-12,"France.   Citation for French Croix de Guerre with Bronze Star:  On the night 4/5 Jul 44 Cpl Guest was visiting Provost points on the lateral routes NORTH OF PERIERS SUR LE DAN 0756, with complete disregard of enemy shelling.    At 2330hrs he reached a well known danger spot - X-rds 067775 - and found the pointman suffering from shell blast but trying to check the severe bleeding of a R Sigs DR who had been twice hit by shell splinters at that point.   Cpl Guest at once took charge, rendered intelligent first aid, and, appreciating that the wounds needed immediate Medical attention, drove the DR to the nearest RAP, through continuous shelling.   The MO's later report left no doubt that Cpl. Guest's cool and prompt action saved the DR's life.   The DR had said that the messages he carried were of great importance, and Cpl Guest took them and drove forward again through shell fire, and delivered them to their destinations.   Cpl Guest landed in France soon after D Day, and his record throughout the campaign for devotion to duty under all circumstances has been exemplary.
OC 102 Pro Coy.   APM 1 Corps, Lt-Gen Comd 1 Corps.   National Archive WO 373/186.
Award not found in London Gazette.",,0,
2337,355,GUARDS ARMD DIV PRO COY,20,WO373,186,,"France.   Citation for French Croix de Guerre with Bronze Star:  On 21 july 1944 a Provost Section of which L/Cpl PARRY was a member was engaged on Traffic Control duties in the area of LA MARIQUET (map ref 117734 Sheet 78/2).  At approximately 18.00hrs the Military policeman, who was on point duty where tanks were crossing the main road EAST of RANVILLE, was killed on his point.   L/Cpl PARRY was detailed to take over this point.   In spite of intense enemy shelling L/Cpl PARRY proceeded to control the traffic as though the situation was perfectly normal.   There is no doubt that the steadfastness and impeturbability of this L/Cpl was an source of inspiration to the drivers of all passing vehicles and his courage enabled a considerable congestion of vehicles at this point to be avoided.
Maj APM Gds Armd Div.   Maj Gen Comd Gds Armd Div.   National archive WO 373/186.
The NCO killed on this point was 1441182 L/Cpl Stead J Gds Armd Div who is buried in Ranville War Cemetery.",,,
2338,2005,113 PRO COY,89,WO 373,186,1945-01-18,"Normandy.   Citation for French Croix de Guerre with Silver Star:   WOI MARSTON was RSM of 113 Pro Coy CMP (P) (30 Corps) and as such landed in France on the 9 June 1944.   During the whole of the period from the original landings until the liberation of France he took and active part in the operations of 30 Corps.   He showed great energy and efficiency in the execution of his duties, which was several times carried out under heavy fire.   The outstanding powers of organisation and command shown by him in carrying out the important work of the RSM of the Corps Pro Coy undoubtedly contributed to the liberation of France.   David Melville, APM 30 Corps.   Maj-Gen Thomas Commander 30 Corps.   National Archive WO 373/186.",,,
2339,2006,49 DIV PRO COY,20,War Diary,WO171/4240,1945-04-01,"Citation for C de G with Bronze Star:  At dawn on 26 June 1944 the battle of FONTENAY was in full progress, with the EAST end of the village still in enemy hands, the WEST held by our own troops.   It was therefore decided to push a Bn of the reserve Bde through the WEST side of the village at dawn on the 27 June to seize a commanding feature SOUTH of the village.   On the morning of 26 June Sgt ALSOPP was detailed to set out with an officer of the Bde concerned to recce a route across country through FONTENAY by which the Bn could move up.   This recce was carried out successfully as far as FONTENAY, but the battle was raging in the streets and it was impossible to continue through the village to the SOUTH side.   At 20.00hrs on the evening of 26 June Sjt ALSOPP set out once more to mark the route with coloured lights,   The whole of the area was being heavily shelled and mortared, and FONTENAY itself was on fire.   Unperturbed, Sgt ALSOPP marked the route right up to the village, and was then faced with the task of completing the route through FONTENAY and to the SOUTH, over the ground he had been unable to recce that morning.   The village was under extremely heavy enemy shelling and mortaring, and spandaus were firieng down the street.   Enemy tanks were known to be operating.   With complete disregard of his own personal safety, Sjt ALSOPP moved forward by bounds over completely unknown ground, marking the route through the orchards surrounding the houses until he reached the objective given.   Then, realising the extreme likelihood of the lights being extinguished either by shell fire or enemy patrols Sjt ALSOPP did not return to his HQ, but for the rest of the night moved along the route he had marked, checking and rechecking the lamps,  heedless of the enemy mortaring and the extreme danger that accrued from the proximity of enemy fighting patrols.   Three hours before dawn the Bn for which he had marked the route moved up in complete darkness, without a man straying from the route.   At dawn the Bn had reached its forming up area and soon after the attack went in.   The success of that extremely difficult night move across unknown country was almost entirely due to Sgt ALSOPP's bravery and selfless devotion to duty in marking and maintaining the route despite the most difficult and dangerous conditions.   Date of Citation 19 Dec 44.
Maj Gen Comd 49 Inf Div.   National Archive WO 373/186.
War Diary WO 171/4240 49 (WR) Division Pro Coy   April 45 The OC heartily contratulates 3384928 Sgt G Allsop on being awarded the Croix de Guerre with Bronze Star.   Name spelt Alsop and Allsopp in citation, award not found in London Gazette.",,,
2340,2007,108 PRO COY,86,WO 373,186,1944-12-01,"Normandy.    Citation for Croix de Guerre with Bronze Star:   The above NCO with his section of Military Police was detailed under a Provost Officer, for duty with the 4th Armd Bde when that Bde had crossed the ORNE and was pushing south towards FALAISE.   During this period when his men were for the first time serving under dangerous conditions, he continued to visit and encourage them.   One of the NCO's was posted at a cross roads which was subjected to more frequent shelling and mortaring than other points..   He repeatedly visited his NCO and eventually returned to the point and remained there until orders were given for the pointsmen to be withdrawn    Later Sjt SIMMONDS was attached with his section of Police to a Bde of 15 (S) Div when it was about to cross the river SEINE at LE MUIDS.   It was necessary to post two Military Policemen at different points on the banks of the river on the night before the crossing was made.   One of these points had been under sporadic enemy small-arms fire during the preceding day, and both points were isolated for several hours during the night.   Sjt SIMMONDS again displayed a keen sense of duty in visiting these pointment, constantly until it was evident that the positions had ceased to be dangerous.   Circumstances had placed this NCO on some of the most dangerous assignements which the company have had to perform and he has on all these occasions shown a devotion to duty which were of the highest traditions of the Corps of Military Police, and which has proved an excellent example to those serving under him.
DAPM 108 Pro Coy.   Lieut-Gen Comd 12 Corps.   National Archive WO 373/186",,,
2341,2008,,2,37015,1815,1945-04-05,CMP (I).   Burma & Eastern Frontiers of India.,,,
2342,2009,17 INDIAN DIV PRO UNIT,2,37015,1815,1945-04-05,CMP (I).   Burma & Eastern Frontiers of India. 14/4/44 Cpl's Kelvey and Cooper recommended for MID for Operation Pumpkin.   Unit War Diary WO 172/4308.,,826,
2343,2010,,2,37015,1815,1945-04-05,"CMP(I),   Burma & Eastern Frontiers of India.",,,
2344,2011,,2,37015,1815,1945-04-05,CMP (I).   Burma & Eastern Frontiers of India.,,,
2345,2012,,2,36287,5475,1943-12-16,WOI (RSM) L Bradfield attached CMP (I).   Burma & Eastern Frontiers of India.,,826,
2346,2013,,2,36287,5476,1943-12-16,CMP (I).   Burma & Eastern Frontiers of India.,,,
2347,2014,5 INDIAN DIV PRO COY,1,36574,2963,1944-06-22,"CMP (I).  Military Medal Citation.
Burma   
In the Arakan on the evening 17th February 1944 a congestion of vehicles was caused at Briatco Bridge through the area being under heavy fire and from approaching enemy patrols No 2322088 L/Cpl J Macdonald was on MP patrol in the area.   Ignoring the fire completely he assisted in the driving away one at a time 8 ambulance cars of wounded to 15 CCS.   After evacuating the wounded he showed great courage and determination in returning on several occasions to the area under fire to recover supply vehicles containing rations.  This NCO's courageous action saved many valuable vehicles and enabled a number of casualties to reach a CCS.
Awarded an  immediate MM  recommended by Captain J Glover OC Pro Unit 5th Indian Division and Major C P Kaye APM 5th Indian Div.   National Archive WO 373/32.
",,,
2348,1610,,2,32192,369,1921-01-14,Army of the Black Sea.   Number now 7681921 introduced in 1920.  A/CSM.,,,
2350,2015,,2,32192,368,1921-01-14,Army of the Black Sea.  Pte A/C/Cpl Worcestershire Regiment attached MFP.,,,
2351,2016,,1,30389,11973,1917-11-19,Awarded whilst serving with the Army Cyclist Corps.,,,
2352,2017,,1,30498,1394,1918-01-28,Military Medal awarded whilst serving with the East Surrey Regiment.,,,
2353,2018,,1,34893,4265,1940-07-11,"BEF.   Military Medal awarded whilst serving with the Buffs in the BEF see LG 34893, 4265, 11/7/1940.",,,
2354,2019,,1,30540,2414,1918-02-23,"Awarded serving with the King's (Liverpool) Regiment, Private, No. 331863",,826,
2355,2020,,92,38240,1923,1948-03-19,Norway.,,826,
2358,2021,,6,38493,26,1949-01-01,New Years Honours.,,,
2359,2023,,76,38945,3163,1950-06-20,RMP.,,,
2360,2024,,6,38505,123,1949-01-07,Palestine 27/3/1947-26/9/1947.,,,
2361,2025,1 DIV PRO COY,2,38505,126,1949-01-07,Palestine 27/9/1946 - 26/3/1947.   RMP. 6085867 Sgt C N Anderson.,,,
2362,2026,,2,38505,130,1949-01-07,Palestine 27 Sept 47 - 26 March 48.  ,,,
2363,2027,,2,38505,132,1949-01-07,Palestine 27 Sept 47 - 30 June 48.,,,
2364,2029,,2,38505,132,1949-01-07,Palestine 27 Sept 47 - 30 June 48.,,,
2365,2030,,56,38517,382,1949-01-21,,,826,
2366,2031,,47,38517,384,1949-01-21,(Now RMP).,,,
2367,2032,,44,38615,2462,1949-05-20,"RMP.  Maj. C G Traherne, DL. JP (62431).",,,
2368,2033,3 Corps Land Forces Greece,48,38620,2608,1949-05-27,"Land Forces Greece.  Citation to Greek Distinguished Service Medal:  For, as instructor of the Military Police, he worked with exceptional zeal and energy.
Lt-Gen Dromazos G, CGGS.   Maj Gen S B Rawlins BMM (G).   National Archive WO 373/110.",,826,
2369,660,3 Corps Land Forces Greece,48,38620,2608,1949-05-27,"Greece.   Citation for Greek Distinguished Service Medal:  For, as instructor of the Military Police, he worked with exceptional zeal and energy.  G Dromazos  Lt-Gen CGGS.   Maj Gen S B Rawlins Comd BMM (G).   National Archive WO 373/110.",,,
2370,2034,,76,38745,5121,1949-10-25,RMP.,,826,
2371,2035,91 Section SIB,6,38782,5906,1949-12-13,"Singapore.  1 Jan 1949 - 30 June 1949.  Citation for BEM:  This NCO was for a long time in sole charge of the S.I.B. Detachment, Malaya - by his efforts crime in that Area was capably and efficiently dealt with.   He carried out many very involved and complicated enquiries, and most of them were brought to a very satisfactory conculusion.   Some of these enquiries took this N.C.O. into the backlanes of Malaya, into areas which are now being patrolled by Civil Police and Military, but this Sgt. Always put his job first and himself and his safety second.
Maj R B Sexton APM SIB.   Col Godfrey Fawcett PM FARELF.   Maj Gen GOCV Singapore District.   National Archive WO 373/128",,,
2372,2036,210 Pro Coy,6,38782,5906,1949-12-13,"Malaya 1 January 1949 - 1 June 1949.   Citation for BEM:  As a result of allegations made in the local press that relations between the Chinese population of KUANTAN and the Coy of 2 Malay Regt, KUANTAN were in a very bad state due to the bad behaviour of the latter, a small Detachment of RMP were sent by air to KUANTAN on 16 Dec 48.   Included in this party was 22212008 SGT WALFORD D. S. (then a L/Cpl).   This NCO had received instructions from me that he was to assume the role of a civilian and to circulate the town with a view to obtaining first hand opinions of a cross-section of the Community.   Under arrangements made with the local police, SGT WALFORD assumed the indentity of a visiting free-lance journalist, and was accommondated at the local Rest House.   KUANTAN is a notorious bandit area, and to carry out his task this N.C.O. had to visit many places which were both isolated and dangerous.   In the duty this N.C.O. had to carry out dressed as a civilian, it was deemed unsuitable that he should carry arms.   He was therefore at all times completely unarmed.   SGT WALFORD has a very wide knowledge of the inhabitants of this area and as a result he submitted a report of a very high order which cast much light on the cause of this trouble.   This was having serious repercussions on the relationship between the Army and Civilian population.   The report was full and detailed and contained many constructive criticisms and suggestions which were of extreme value not only from the point of view of the Disciplinary aspect of the case, but had a direct bearing on the successful continuation of operations in the area.  At the conclusion of his investigation I received high praise on his behalf, from the District Commissioner and also the Officer Commanding the Police District.   His report was submitted to the G.O.C. Malaya Dist who considered it to be extremelty valuable.   The G.O.C. commended WALFORD personally for his work.   This N.C.O. during the whole of his tour of duty shewed great initiative and drive, working without any outside assistance under conditions of considerable danger and difficulty.   As a result he produced a report which resulted in greatly improved morale in the KUANTAN area.   During the whole period of the emergency this N.C.O. has shewn great initiative and keenness and has consistently proved to be outstanding both as a policeman and a N.C.O.   I recommend that his name is submitted for the B.E.M.
Maj G.S.B. Palmer M.C. APM Malaya District.   Maj Gen C.H. Boucher GOC Malaya District.   National Archive WO 373/128.",,,
2373,2037,,2,38782,5908,1949-12-13,Malaya 1/1/1949- 30/6/1949.,,,
2374,2038,,5,38797,8,1950-01-02,New Years Honour.,,,
2375,2039,,44,38889,1942,1950-04-21,RMP.  Capt (Hon Maj) J C L Whitaker (87091)..,,,
2376,2040,,73,38889,1942,1950-04-21,RMP.   Lt N H Coyle (90013).,,,
2377,2041,,2,38916,2489,1950-05-19,Malaya 1/7/1949 - 31/12/1949.,,,
2378,2043,Not Known,2,36180,4228,1943-09-23,North Africa.  ,,,
2379,2044,173 Pro Coy,6,38929,2800,1950-06-08,"Northern Ireland.   Citation for BEM:   Sgt BROWN has served in the Regular Army for over 16 years.   He enlisted in the Royal Inniskilling Fusiliers, afterwards transferring to the Corps of Military Police.   He has served as a Sergeant in 173 HQ Pro Coy, RMP since Oct 1944.   During most of this period he has been the Senior Sergeant in the Company;  he has therefore on numerable occasions and for considerable periods, had to undertake the duties of RSM and CQMS.   Both these duties he has carried out very satisfactory at all times.   Sgt BROWN is an NCO with a pleasant personality and his imperturbable good humor and willingness to turn his hand to anything has had a great influence in maintaining the efficiency of the Unit.
Maj A E Winghold APM & OC 173 HQ Pro Coy.
E V Lang Col AQ I have known Sgt Brown for a long time. He has many times undertaken duties of ranks superior to his own and carried the out really well.   He has been largely responsible for provost arrangements on a number of public occasions and has to my personal knowledge given exceptionally loyal and devoted service.
Lt-Gen RFS Denning GOC NID.
National Archive WO 373/158.",,826,
2380,2045,HQ SIB London,46,38929,2781,1950-06-08,"United Kingdom.   DPM/SIB Sherwood Foresters.   DPM SIB London.   Citation for OBE:  Lt Col F Elliott has been the senior officer of the Special Investigation Branch of the RMP for the last 2 years during which time the many difficulties caused by changes from war to peace conditions have been very apparent both in administration of his own branch and the investigation of crime in the army.   Throughout this period, Col Elliott has manintained the highest morale in his branch, and by his personal example has done a great deal to counter crime, also his branch have saved the WD large sums of money, and material.   He is 39 years of age and has spent 9 years with the Civil Police, which included 7 years CID experience in the Metropolitan Police and at Scotland Yard and 10 years with the RMP.   The nature of his duites brings him into contact with many Senior Police Officers and also Senior Army Officers and his tact has played a big part in the good relationships that exists with the Civil Police.   He never spares himself, and by his devotion to duty he has kept up and in fact enhanced the good record of the SIB.
Brig L F E Wieler Provost Marshall.   Maj Gen DPS War Office.   National  Archive WO 373/158.",,,
2381,2046,,47,38940,3043,1950-06-13,Now Maj.   Now RMP.,,,
2382,2047,,76,39022,4743,1950-09-22,RMP.,,,
2383,2048,,2,39048,5293,1950-10-24,Malaya 2/1/1950 - 30/6/1950.,,826,
2384,2049,7 Sect SIB,6,39104,26,1951-01-01,"United Kingdom.   Northern Command SIB.   Citation for BEM:  Sergeant Rogers has been employed in SIB, Northern Command since April 1948.   During this time his untiring efforts in the detection of serious cases of crime have been most marked.   His ability is of the highest order and his techincal and practical approach on the investigation of offences is outstanding.   As a Detachment Commander he has continually performed the duties normally assigned on a WOII.   As a result of his exeptional qualities which were devoted to many prolonged enquires a large number of offenders have been brought to trial.   This NCO's excellent work has undoubtedly enhanced the high reputation of the SIB in both military and civilian circles.
Lieut-Col WA Burford DSO DPM Northern Command.   Lieut-Gen CMFWhite GOC Catterick District: Sgt Rogers is well know to me and has carried out invaluable services to the Army withing my District.   He is outstandfing in his ability and devotion to duty and has great moral and physical courage which has proved of immeasuarable value to the Service.
Nationa Archive WO 373/158.",,,
2385,2050,,44,39149,853,1951-02-16,,,,
2386,2051,,44,39149,853,1951-02-16,Lt (T/Capt) R T A Burton (78540) (now Sgt CRMP).,,,
2387,2052,,76,39174,1418,1951-03-16,RMP.,,,
2388,2053,,76,39200,2061,1951-04-13,Corps of RMP.   Lt R G Robertson (65334.   Territorial Efficiency Decoration and 1st Clasp.,,,
2389,2054,21 (Guard) Unit RMP,5,39214,2383,1951-04-24,"Malaya  21(Guard) Unit RMP Singapore.  April 49 - Nov 50.   Citation for MBE:  This Warrant Officer has been greatly responsible for the standard and smartness of this unit and to its state of discipline due to the nature of the unit he has had very little assistance and has proved himself to be a first class  drill instructor and disciplinarian.   Despite his youth he has handled NCO's of considerably greater experience, firmly and fairly and as a result has earned their respect and co-operation.   He has a very hight sense of duty and has time and again shewn himslelf outstanding as a Warrant Officer.   He takes a keen interest in the welfare of the M.O.R. NCO's and has always gone out of his way to guide and help them.   By his bearing and personal conduct he has proved an outstanding example to all NCO's  and men of this unit.
Lieut-Col G S P Palmer MC CO 21 (Guard) Unit RMP.   Maj-Gen GOC Singapore Base District.   C in C Far East Land Forces, Singapore.  National Archive WO373/129.
Forfeiture of LS & GC and MBE awarded as other rank no 6103958.   MBE cancelled and annulled and name erased from register, imprisoned for 6 months LG43933 Page 3351 25 March 1966.",,,
2390,2055,,2,39214,2385,1951-04-27,Malaya 1/7/1950 - 31/12/1950.   A/S/Sgt.,,,
2391,2057,,44,38889,1942,1950-04-21,Shown as General List.  Hon Major.,,,
2392,2058,1 Commonwealth Division,2,39328,4715,1951-09-07,"Korea 1/1/1951 - 30/6/1951.  APM.
",,,
4528,6014,UNKNOWN,2,36243,4958,1943-11-11,"North Africa, Egypt.",,,
2393,2059,,2,39328,4715,1951-09-07,Korea 1/1/1951 - 30/6/1951.,,,
2394,2060,,2,39328,4715,1951-09-07,Korea 1/1/1951 - 30/6/1951.,,,
2395,2061,,47,39337,4928,1951-09-21,Medal shown as Territorial Decoration in Corps Journal 4/4/1951.,,,
2396,2062,50 DIV PRO COY,73,39419,6737,1951-12-28,,,826,
2397,2063,5 SIS SIB,6,39421,27,1952-01-01,"Nairobi.   Feb 49 to Apr 51. Citation for BEM:   Sgt ALLAN arrived in Nairobi at a time when losses in stores due to thieving were costing the public many thousands of pounds annually.   He immediately set to work to combat this menace and as a result of his tenacity and devotion to duty many arrests have been made and the activities of the thieves noticeably reduced.   The nature of his duties entail periods of considerable strain, often the loss of sleep and at times of personal danger but he has not spared himself  nor has his efficiency been impaired or his enthusiasm flagged.   Not only has he shown himself to be an outstanding investigator but his foresight and acumen have on many occassions been instrumental in anticipating and preventing crime.   He has maintained the closest collaboration with the Civil Police CID to the mutual benefit of both Services and has been commended by the civil authorities for his valuable contributuion in bringing to a successful conclusion a number of extremelty difficult investigations.   To all those with who his work brings him in contact Sgt ALLAN is an inspiration and an example.
Major G C Wadsworth APM SIB.. Remarks of Brigade Commander  I can testify to the excellent work that Sgt ALLAN has done during the 18 months that I have known him and strongly recommend this application.   His initiative and devotion to duty are outstanding.   Lieut -Gen A A B Dowler GOC East Africa Command.   National Archive WO 373/159.",,,
2398,2064,PM War Office,6,39421,27,1952-01-01,"United Kingdom.   Provost Marshal's Branch, AG (PM) War Office.   Citation for BEM:  S/Sgt Clapham is a regular soldier of eleven years' exemplary service.   He has served as Chief Clerk to the Provost Marshal, and for AG (PM) Branch of the War Office, for the last three years.   During this period the Branch has had to be completely re-organised in order to accept responsibility for MPSC as well as RMP and work has steadily increased owing to planning for mobilisation, and the increase in size of RMP, Active, TA and SR.   The provision of junior clerical staff from RMP has always been extremelty difficult and resulted in many changes.   Throughout the period he has shown great ability in controlling this changing staff and in training them to give good willing work.   Had it not been for S/Sgt CLAPHAM'S energy, organising ability and devotion to his task which often meant long hours of voluntary extra duty, the work of the office would have been seriously impaired;
Col P Godfrey Fausett Col A & G (DPM) to DDPS (PM).   National Archive WO 373/159",,,
2399,2065,203 PRO COY,6,39421,28,1952-01-01,"Egypt.   Citation for BEM:  No 6977676 Sjt KERNAGHAN has been in Egypt in 203 Pro Coy RMP since December 1949.   The whole of the year 1950 was a very difficult one for the Company, owing to frequent changes of officers and senior NCOs.   During the whole of this period Sjt KERNAGHAN's behavious was exemplary and he continued to maintain the highest standard of discipline whether at Company Headquarters or when commanding a section on detachment.   During the early months of 1951 the Company was left for two months without a CQMS,   Although he was not the senior Sarjeant in the Company Serjeant KERNAGHAN was chosen to fill the post.   In spite of having had no previous experience of the job and although the very scattered nature of the Company added to its complicaitons Sarjeant KERNAGHAN carried out the job with every satisfaction until a CQMS could be sent out  from home.   His devotion to duty and example have been outstanding.
Maj R H A Knox OC 203 Pro Coy.   National Archive WO 373/159.   Name spelt Kermaghan on National Archive sheet.",,,
2400,2066,2/4 Pro Section CWAMP,6,39421,28,1952-01-01,"Nigeria.   Corps of West African Military Police.   Citation for BEM:  WOII POORE has been in sole charge of the CWAMP Detachment at KADUNA  for two years.   During this period he has been carrying out the duties of an officer, since the Detachment Commander is shown on Establishment as an officer, but owing to shortage of officers none has been posted.   The standard of turn-out, discipline and efficiency of the Detachment have consistenly been of the highest order, owing to WOII POORE's keeness, energy and unremitting devotion to duty.   It is strongly recommended that the outstanding manner in which he has carried out the duties of an officer over a long period be recognized by the award of the BEM.
Lieut-Col L W G Hamilton OBE Commander North Eastern Sub-District, Kaduna, Northern Nigeria.   Brig Comd Nigeria District Lagos, Nigeria: I know this Warrant Officer personally, and consider he has done outstanding work at Kaduna.   I strongly recommend the award of the BEM.   National Archive WO 373/159.",,,
2401,2058,1 Commonwealth Division,16,39462,789,1952-02-18,"Korea.   Citation for US Bronze Star:   Major ALBERT W. EVANS, 355863, Corps of Royal Military Police, as Provost Marshal, 29th British Independent Brigade, First United States Corps, performed outstanding meritorious service during the period 2 November 1950 to 1 June 1951 in support of military operations against the armed enemy in Korea.   Through his knowledge of traffic control and general police matters, Major EVANS, on numerous occasions, assisted materially in the successful movement of I Corps traffic over an inadequate roadnet undere adverse conditions.   His personal efforts in controlling conflicting traffic during the withdrawl across the Han River in January 1951, were instrumental in maintaining a constant flow of traffic through the City of Soul.   His speldid cooperation with other United Nations military police, working jointly during Corps movements, has resulted in a most desirous degree of teamwork.   Maj EVANS' attention to duty and tireless efforts were of material assistance to the success of the operation, and reflected great credit on himself, his organisation, and the United Nations Forces.
HQ 1 (US) Corps 8 August 1951.   National Archive WO 373/119.",,,
2402,2067,,44,39471,981,1952-02-19,Camerons.   (now CRMP (SR).,,,
2403,2068,56 (London) Armoured Div Pro Coy TA,44,39471,981,1952-02-19,,,,
2404,2069,,44,39471,981,1952-02-19,,,,
2405,2070,200 Provost Company,2,39507,1881,1952-04-04,Malaya 1/7/1951 - 31/12/1951.,,,
2406,2071,200 Provost Company,2,39507,1881,1952-04-04,Malaya 1/7/1951 - 31/12/1951.,,,
2407,2072,,46,39508,1883,1952-04-04,"Egypt.   Temp Lt Col Irish Guards, DPM BTE Egypt.  For action in riots in Ismailia 17 - 18 November 1951.   Citation for OBE: This officer was the APM and it was therefore his duty to keep in touch with the Civil Police.   On 17/18 November a very difficult sitiation built up in Ismalia.   He heard of the trouble and a request to escort a doctor to a casualty.   He immediately decided to escort the doctor personally and see what the trouble was for himself.  He found the town in confusion with the Egyptian Police completely out of hand and firing in all directions.   He made contact with the RAF Police and certain Egyptian Civil Authorities and between them organized a party with a lound speaker which brought firing under control.   On the following day (18th November 1952) he was prominent in bringing the situation under control in a firm and common-sense manner.   In a situation of great tension he was able to inspire Egyptian Police Officers to a sense of duty at a time when they were reluctant to do anything.   He set a splendid example to all officers and men of the Corps of Royal Military Police.
RMP Journal 3rd Quarter 1952.",,,
2408,2073,56 DIV PRO COY,2,36886,337,1945-01-11,Italy.  ,,826,
2409,2074,,2,39528,2308,1951-04-29,Korea 1/7/1951 - 31/12/1951.,,,
